2024-11-12 16:38:22 0 [ERROR] InnoDB: Your database may be corrupt or you may have copied the InnoDB tablespace but not the InnoDB log files. Please refer to https://mariadb.com/kb/en/library/innodb-recovery-modes/ for information about forcing recovery.
2024-11-12 16:38:22 0 [ERROR] InnoDB: Page [page id: space=0, page number=48] log sequence number 144155 is in the future! Current system log sequence number 142435.
2024-11-12 16:38:22 0 [ERROR] InnoDB: Your database may be corrupt or you may have copied the InnoDB tablespace but not the InnoDB log files. Please refer to https://mariadb.com/kb/en/library/innodb-recovery-modes/ for information about forcing recovery.
2024-11-12 16:38:22 0 [ERROR] InnoDB: Page [page id: space=0, page number=312] log sequence number 144155 is in the future! Current system log sequence number 142435.
2024-11-12 16:38:22 0 [ERROR] InnoDB: Your database may be corrupt or you may have copied the InnoDB tablespace but not the InnoDB log files. Please refer to https://mariadb.com/kb/en/library/innodb-recovery-modes/ for information about forcing recovery.
2024-11-12 16:38:22 0 [ERROR] InnoDB: Page [page id: space=0, page number=49] log sequence number 144886 is in the future! Current system log sequence number 142435.
2024-11-12 16:38:22 0 [ERROR] InnoDB: Your database may be corrupt or you may have copied the InnoDB tablespace but not the InnoDB log files. Please refer to https://mariadb.com/kb/en/library/innodb-recovery-modes/ for information about forcing recovery.
2024-11-12 16:38:22 0 [ERROR] InnoDB: Page [page id: space=0, page number=313] log sequence number 144886 is in the future! Current system log sequence number 142435.
2024-11-12 16:38:22 0 [ERROR] InnoDB: Your database may be corrupt or you may have copied the InnoDB tablespace but not the InnoDB log files. Please refer to https://mariadb.com/kb/en/library/innodb-recovery-modes/ for information about forcing recovery.
2024-11-12 16:38:22 0 [ERROR] InnoDB: Page [page id: space=0, page number=50] log sequence number 300221 is in the future! Current system log sequence number 142435.
2024-11-12 16:38:22 0 [ERROR] InnoDB: Your database may be corrupt or you may have copied the InnoDB tablespace but not the InnoDB log files. Please refer to https://mariadb.com/kb/en/library/innodb-recovery-modes/ for information about forcing recovery.
2024-11-12 16:38:22 0 [ERROR] InnoDB: Page [page id: space=0, page number=314] log sequence number 300221 is in the future! Current system log sequence number 142435.
2024-11-12 16:38:22 0 [ERROR] InnoDB: Your database may be corrupt or you may have copied the InnoDB tablespace but not the InnoDB log files. Please refer to https://mariadb.com/kb/en/library/innodb-recovery-modes/ for information about forcing recovery.
2024-11-12 16:38:22 0 [ERROR] InnoDB: Page [page id: space=0, page number=51] log sequence number 151010 is in the future! Current system log sequence number 142435.
2024-11-12 16:38:22 0 [ERROR] InnoDB: Your database may be corrupt or you may have copied the InnoDB tablespace but not the InnoDB log files. Please refer to https://mariadb.com/kb/en/library/innodb-recovery-modes/ for information about forcing recovery.
2024-11-12 16:38:22 0 [ERROR] InnoDB: Page [page id: space=0, page number=315] log sequence number 151010 is in the future! Current system log sequence number 142435.
2024-11-12 16:38:22 0 [ERROR] InnoDB: Your database may be corrupt or you may have copied the InnoDB tablespace but not the InnoDB log files. Please refer to https://mariadb.com/kb/en/library/innodb-recovery-modes/ for information about forcing recovery.
2024-11-12 16:38:22 0 [ERROR] InnoDB: Page [page id: space=0, page number=52] log sequence number 152759 is in the future! Current system log sequence number 142435.
2024-11-12 16:38:22 0 [ERROR] InnoDB: Your database may be corrupt or you may have copied the InnoDB tablespace but not the InnoDB log files. Please refer to https://mariadb.com/kb/en/library/innodb-recovery-modes/ for information about forcing recovery.
2024-11-12 16:38:22 0 [ERROR] InnoDB: Page [page id: space=0, page number=316] log sequence number 152759 is in the future! Current system log sequence number 142435.
2024-11-12 16:38:22 0 [ERROR] InnoDB: Your database may be corrupt or you may have copied the InnoDB tablespace but not the InnoDB log files. Please refer to https://mariadb.com/kb/en/library/innodb-recovery-modes/ for information about forcing recovery.
2024-11-12 16:38:22 0 [ERROR] InnoDB: Page [page id: space=0, page number=53] log sequence number 159251 is in the future! Current system log sequence number 142435.
2024-11-12 16:38:22 0 [ERROR] InnoDB: Your database may be corrupt or you may have copied the InnoDB tablespace but not the InnoDB log files. Please refer to https://mariadb.com/kb/en/library/innodb-recovery-modes/ for information about forcing recovery.
2024-11-12 16:38:22 0 [ERROR] InnoDB: Page [page id: space=0, page number=317] log sequence number 159251 is in the future! Current system log sequence number 142435.
2024-11-12 16:38:22 0 [ERROR] InnoDB: Your database may be corrupt or you may have copied the InnoDB tablespace but not the InnoDB log files. Please refer to https://mariadb.com/kb/en/library/innodb-recovery-modes/ for information about forcing recovery.
2024-11-12 16:38:22 0 [ERROR] InnoDB: Page [page id: space=0, page number=54] log sequence number 160213 is in the future! Current system log sequence number 142435.
2024-11-12 16:38:22 0 [ERROR] InnoDB: Your database may be corrupt or you may have copied the InnoDB tablespace but not the InnoDB log files. Please refer to https://mariadb.com/kb/en/library/innodb-recovery-modes/ for information about forcing recovery.
2024-11-12 16:38:22 0 [ERROR] InnoDB: Page [page id: space=0, page number=318] log sequence number 160213 is in the future! Current system log sequence number 142435.
2024-11-12 16:38:22 0 [ERROR] InnoDB: Your database may be corrupt or you may have copied the InnoDB tablespace but not the InnoDB log files. Please refer to https://mariadb.com/kb/en/library/innodb-recovery-modes/ for information about forcing recovery.
2024-11-12 16:38:22 0 [ERROR] InnoDB: Page [page id: space=0, page number=55] log sequence number 163130 is in the future! Current system log sequence number 142435.
2024-11-12 16:38:22 0 [ERROR] InnoDB: Your database may be corrupt or you may have copied the InnoDB tablespace but not the InnoDB log files. Please refer to https://mariadb.com/kb/en/library/innodb-recovery-modes/ for information about forcing recovery.
2024-11-12 16:38:22 0 [ERROR] InnoDB: Page [page id: space=0, page number=319] log sequence number 163130 is in the future! Current system log sequence number 142435.
2024-11-12 16:38:22 0 [ERROR] InnoDB: Your database may be corrupt or you may have copied the InnoDB tablespace but not the InnoDB log files. Please refer to https://mariadb.com/kb/en/library/innodb-recovery-modes/ for information about forcing recovery.
2024-11-12 16:38:22 0 [ERROR] InnoDB: Page [page id: space=0, page number=56] log sequence number 169623 is in the future! Current system log sequence number 142435.
